"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"add doctor",244570,"20",1300,"0.0048914",6.35882,0
"add doctor",244642,"20",1300,"0.00489284",6.360692,0
