"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"prescribe",615347,"20",1300,"0.01230694",15.999022,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",466661,"20",1300,"0.00933322",12.133186,0
"prescribe",534237,"20",1300,"0.01068474",13.890162,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",615731,"20",1300,"0.01231462",16.009006,2
"prescribe",534393,"20",1300,"0.01068786",13.894218,1
"prescribe",615587,"20",1300,"0.01231174",16.005262,1
"prescribe",534357,"20",1300,"0.01068714",13.893282,1
"prescribe",534333,"20",1300,"0.01068666",13.892658,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,1
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,1
"prescribe",534357,"20",1300,"0.01068714",13.893282,2
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,1
"prescribe",534333,"20",1300,"0.01068666",13.892658,1
"prescribe",534249,"20",1300,"0.01068498",13.890474000000001,0
"prescribe",534309,"20",1300,"0.01068618",13.892034,1
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,1
"prescribe",466745,"20",1300,"0.0093349",12.13537,1
"prescribe",534237,"20",1300,"0.01068474",13.890162,1
"prescribe",534285,"20",1300,"0.0106857",13.891409999999999,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,1
"prescribe",615467,"20",1300,"0.01230934",16.002142,1
"prescribe",466745,"20",1300,"0.0093349",12.13537,1
"prescribe",466673,"20",1300,"0.00933346",12.133498,0
"prescribe",534477,"20",1300,"0.01068954",13.896402000000002,1
"prescribe",466661,"20",1300,"0.00933322",12.133186,2
"prescribe",615443,"20",1300,"0.01230886",16.001518,1
"prescribe",615563,"20",1300,"0.01231126",16.004638,0
"prescribe",534345,"20",1300,"0.0106869",13.892969999999998,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",466889,"20",1300,"0.00933778",12.139114000000001,0
"prescribe",615575,"20",1300,"0.0123115",16.00495,1
"prescribe",534261,"20",1300,"0.01068522",13.890786,2
"prescribe",466637,"20",1300,"0.00933274",12.132562000000002,0
"prescribe",466721,"20",1300,"0.00933442",12.134746,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,1
"prescribe",534141,"20",1300,"0.01068282",13.887666000000001,1
"prescribe",534441,"20",1300,"0.01068882",13.895466,1
"prescribe",615743,"20",1300,"0.01231486",16.009318,0
"prescribe",534249,"20",1300,"0.01068498",13.890474000000001,1
"prescribe",534309,"20",1300,"0.01068618",13.892034,1
"prescribe",466853,"20",1300,"0.00933706",12.138178,1
"prescribe",615431,"20",1300,"0.01230862",16.001206,1
"prescribe",615491,"20",1300,"0.01230982",16.002766,0
"prescribe",615443,"20",1300,"0.01230886",16.001518,1
"prescribe",534273,"20",1300,"0.01068546",13.891098000000001,1
"prescribe",534333,"20",1300,"0.01068666",13.892658,1
"prescribe",615491,"20",1300,"0.01230982",16.002766,1
"prescribe",466949,"20",1300,"0.00933898",12.140674,0
"prescribe",507641,"20",1300,"0.01015282",13.198666,1
"prescribe",656221,"20",1300,"0.01312442",17.061746,1
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,0
"prescribe",466745,"20",1300,"0.0093349",12.13537,1
"prescribe",466589,"20",1300,"0.00933178",12.131314,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,1
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,0
"prescribe",466745,"20",1300,"0.0093349",12.13537,1
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,1
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,0
"prescribe",466901,"20",1300,"0.00933802",12.139426,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,1
"prescribe",615431,"20",1300,"0.01230862",16.001206,0
"prescribe",534261,"20",1300,"0.01068522",13.890786,1
"prescribe",534225,"20",1300,"0.0106845",13.88985,0
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,1
"prescribe",466973,"20",1300,"0.00933946",12.141298,1
"prescribe",466877,"20",1300,"0.00933754",12.138802,1
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,0
"prescribe",534297,"20",1300,"0.01068594",13.891722,1
"prescribe",534129,"20",1300,"0.01068258",13.887354,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,1
"prescribe",534441,"20",1300,"0.01068882",13.895466,1
"prescribe",466913,"20",1300,"0.00933826",12.139738,0
"prescribe",466793,"20",1300,"0.00933586",12.136618,1
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,1
"prescribe",534465,"20",1300,"0.0106893",13.896090000000001,0
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,1
"prescribe",615659,"20",1300,"0.01231318",16.007134,0
"prescribe",615671,"20",1300,"0.01231342",16.007446,1
"prescribe",534237,"20",1300,"0.01068474",13.890162,1
"prescribe",534213,"20",1300,"0.01068426",13.889537999999998,1
"prescribe",615575,"20",1300,"0.0123115",16.00495,0
"prescribe",615467,"20",1300,"0.01230934",16.002142,1
"prescribe",534309,"20",1300,"0.01068618",13.892034,0
"prescribe",466949,"20",1300,"0.00933898",12.140674,1
"prescribe",466673,"20",1300,"0.00933346",12.133498,0
"prescribe",534297,"20",1300,"0.01068594",13.891722,1
"prescribe",534165,"20",1300,"0.0106833",13.88829,1
"prescribe",615491,"20",1300,"0.01230982",16.002766,0
"prescribe",615659,"20",1300,"0.01231318",16.007134,1
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,0
"prescribe",534261,"20",1300,"0.01068522",13.890786,1
"prescribe",534309,"20",1300,"0.01068618",13.892034,1
"prescribe",466649,"20",1300,"0.00933298",12.132874,1
"prescribe",534225,"20",1300,"0.0106845",13.88985,0
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,0
"prescribe",534357,"20",1300,"0.01068714",13.893282,1
"prescribe",534333,"20",1300,"0.01068666",13.892658,0
"prescribe",534321,"20",1300,"0.01068642",13.892346,1
"prescribe",615683,"20",1300,"0.01231366",16.007758,1
"prescribe",615503,"20",1300,"0.01231006",16.003078,0
"prescribe",615659,"20",1300,"0.01231318",16.007134,1
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,0
"prescribe",615683,"20",1300,"0.01231366",16.007758,0
"prescribe",466661,"20",1300,"0.00933322",12.133186,1
"prescribe",466757,"20",1300,"0.00933514",12.135682000000001,0
"prescribe",534453,"20",1300,"0.01068906",13.895778,1
"prescribe",466853,"20",1300,"0.00933706",12.138178,0
"prescribe",615515,"20",1300,"0.0123103",16.00339,1
"prescribe",615371,"20",1300,"0.01230742",15.999645999999998,0
"prescribe",466793,"20",1300,"0.00933586",12.136618,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,0
"prescribe",615491,"20",1300,"0.01230982",16.002766,1
"prescribe",534141,"20",1300,"0.01068282",13.887666000000001,0
"prescribe",615443,"20",1300,"0.01230886",16.001518,1
"prescribe",466769,"20",1300,"0.00933538",12.135994,0
"prescribe",615491,"20",1300,"0.01230982",16.002766,1
"prescribe",534357,"20",1300,"0.01068714",13.893282,0
"prescribe",534417,"20",1300,"0.01068834",13.894841999999999,0
"prescribe",615671,"20",1300,"0.01231342",16.007446,1
"prescribe",534189,"20",1300,"0.01068378",13.888914,0
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,1
"prescribe",534369,"20",1300,"0.01068738",13.893594,0
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,1
"prescribe",466793,"20",1300,"0.00933586",12.136618,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,0
"prescribe",615407,"20",1300,"0.01230814",16.000582,1
"prescribe",534273,"20",1300,"0.01068546",13.891098000000001,0
"prescribe",534261,"20",1300,"0.01068522",13.890786,0
"prescribe",534309,"20",1300,"0.01068618",13.892034,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,0
"prescribe",534309,"20",1300,"0.01068618",13.892034,0
"prescribe",615467,"20",1300,"0.01230934",16.002142,1
"prescribe",534285,"20",1300,"0.0106857",13.891409999999999,0
"prescribe",534477,"20",1300,"0.01068954",13.896402000000002,1
"prescribe",615527,"20",1300,"0.01231054",16.003702,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,0
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,0
