"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"add patient",646038,"20",1300,"0.01292076",16.796988,1
"add patient",646098,"20",1300,"0.01292196",16.798548,0
"add patient",645990,"20",1300,"0.0129198",16.795740000000002,0
"add patient",546754,"20",1300,"0.01093508",14.215603999999999,0
"add patient",646050,"20",1300,"0.012921",16.7973,0
"add patient",645954,"20",1300,"0.01291908",16.794804,0
"add patient",645966,"20",1300,"0.01291932",16.795116,1
