"filename", "language", "Shell Script", "JavaScript", "env", "JSON", "Solidity", "Markdown", "CSV", "HTML", "CSS", "XML", "Svelte", "comment", "blank", "total"
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/assets/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/component/Header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 6, 20, 201
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/component/dash/DoctorChart.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 409, 33, 37, 479
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/component/dash/DoctorDash.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 23, 11, 327
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/component/dash/PatientDash.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 648, 1, 24, 673
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 14
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/AccessControl.json", "JSON", 0, 0, 0, 4223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4223
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/AccessControlEnumerable.json", "JSON", 0, 0, 0, 1782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1782
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Application.json", "JSON", 0, 0, 0, 2057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2057
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Chaindoser.json", "JSON", 0, 0, 0, 15664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15664
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Clones.json", "JSON", 0, 0, 0, 1921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1921
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Context.json", "JSON", 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Doctor.json", "JSON", 0, 0, 0, 6527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6527
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/DoctorFactory.json", "JSON", 0, 0, 0, 3425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3425
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/ERC165.json", "JSON", 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/EnumerableSet.json", "JSON", 0, 0, 0, 7075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7075
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/IAccessControl.json", "JSON", 0, 0, 0, 1074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1074
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/IAccessControlEnumerable.json", "JSON", 0, 0, 0, 555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 555
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/IERC165.json", "JSON", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Manager.json", "JSON", 0, 0, 0, 17462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17462
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Ownable.json", "JSON", 0, 0, 0, 1399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1399
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Patient.json", "JSON", 0, 0, 0, 21359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21359
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/PatientFactory.json", "JSON", 0, 0, 0, 8277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8277
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Strings.json", "JSON", 0, 0, 0, 2881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2881
